segmentation_file,gt_file,(Split,Merge),split,length_merge,merge,adapted_rand,hash,model,metadata_train,metadata_segmentation
"3,5p2_5_predictions_gasp_mutex_watershed.h5","3,5p2_5_predictions_gasp_mutex_watershed_proofread.h5",(0.16605072778211527, 1.7646542782140766),0.166050728,20,1.764654278,0.163627504,"('20f3a45063979f2bf336aede9a58e346', 'ec1c55eab3200c4b01190c0503c89dd2')",confocal_2D_unet_bce_dice_ds2x,,
"3,5p4_4_predictions_gasp_mutex_watershed.h5","3,5p4_4_predictions_gasp_mutex_watershed_proofread.h5",(0.1516708372151125, 2.692454446852194),0.151670837,19,2.692454447,0.338053137,"('e221ff6b3608189d8b78bfcb4c778b2f', 'db349a2b492e765286e5d28a491c1b07')",confocal_2D_unet_bce_dice_ds2x,,
"3,5p4_5_predictions_gasp_mutex_watershed.h5","3,5p4_5_predictions_gasp_mutex_watershed_proofread.h5",(0.1592260800921675, 2.8035834292239112),0.15922608,20,2.803583429,0.467255742,"('094d697e5a28f5596fe8cba98cde615a', 'c9b6182bad16759e1e3674f31825cd60')",confocal_2D_unet_bce_dice_ds2x,,
"3,5w_3_predictions_gasp_mutex_watershed.h5","3,5w_3_predictions_gasp_mutex_watershed_proofread.h5",(0.13677919785756276, 2.292603525725129),0.136779198,19,2.292603526,0.262776674,"('d5ca62940c139c536f65345c1e42bafe', '6e0ca0b333f7c251e2e26939a12fff95')",confocal_2D_unet_bce_dice_ds2x,,
4w_5_predictions_gasp_mutex_watershed.h5,4w_5_predictions_gasp_mutex_watershed_proofread.h5,(0.15248626367613896, 1.600859667600203),0.152486264,19,1.600859668,0.153344994,"('44fd9d553dc336a5782f4ac6767cf325', 'a3e367ed86abbc0e18a44cd41160316a')",confocal_2D_unet_bce_dice_ds2x,,
"3,5p2_5_predictions_gasp_mutex_watershed.h5","3,5p2_5_predictions_gasp_mutex_watershed_proofread.h5",(0.11199023997287612, 0.7589764672126047),0.11199024,20,0.758976467,0.050039303,"('51114a446b633e5e1076e357f0bddcf4', 'ec1c55eab3200c4b01190c0503c89dd2')",confocal_PNAS_2d,,
"3,5p4_4_predictions_gasp_mutex_watershed.h5","3,5p4_4_predictions_gasp_mutex_watershed_proofread.h5",(0.1838002311691084, 0.9753920579431754),0.183800231,20,0.975392058,0.072597379,"('3cd187999567be733c5256707184c6b9', 'db349a2b492e765286e5d28a491c1b07')",confocal_PNAS_2d,,
"3,5p4_5_predictions_gasp_mutex_watershed.h5","3,5p4_5_predictions_gasp_mutex_watershed_proofread.h5",(0.11972477745784378, 1.1318332018341066),0.119724777,20,1.131833202,0.22377003,"('cf2263a8c6b4815950bcc6cc14fd9784', 'c9b6182bad16759e1e3674f31825cd60')",confocal_PNAS_2d,,
"3,5w_3_predictions_gasp_mutex_watershed.h5","3,5w_3_predictions_gasp_mutex_watershed_proofread.h5",(0.1047724564570287, 0.8596036697695704),0.104772456,20,0.85960367,0.047271031,"('7133cb7f946f25d4e2261e1972f3002b', '6e0ca0b333f7c251e2e26939a12fff95')",confocal_PNAS_2d,,
4w_5_predictions_gasp_mutex_watershed.h5,4w_5_predictions_gasp_mutex_watershed_proofread.h5,(0.11468373056069865, 0.6694154360546126),0.114683731,20,0.669415436,0.045801726,"('30e8c6e3328598bfe2f3556caa1c8c18', 'a3e367ed86abbc0e18a44cd41160316a')",confocal_PNAS_2d,,
"3,5p2_5_predictions_gasp_mutex_watershed.h5","3,5p2_5_predictions_gasp_mutex_watershed_proofread.h5",(0.28235637882399056, 0.3246606547520997),0.282356379,20,0.324660655,0.063281833,"('a36970dfd09a0e870d1166f86e2aa0d2', 'ec1c55eab3200c4b01190c0503c89dd2')",hypocotyl_20210311,,
"3,5p4_4_predictions_gasp_mutex_watershed.h5","3,5p4_4_predictions_gasp_mutex_watershed_proofread.h5",(0.5127771724120049, 0.3752235865529761),0.512777172,20,0.375223587,0.148713817,"('ae35cf817317dac33695df6fa1d5dda2', 'db349a2b492e765286e5d28a491c1b07')",hypocotyl_20210311,,
"3,5p4_5_predictions_gasp_mutex_watershed.h5","3,5p4_5_predictions_gasp_mutex_watershed_proofread.h5",(0.25673533486587297, 0.3162958967646815),0.256735335,20,0.316295897,0.052194964,"('a7c7bef969d13b7d906dfe22e5d9bcae', 'c9b6182bad16759e1e3674f31825cd60')",hypocotyl_20210311,,
"3,5w_3_predictions_gasp_mutex_watershed.h5","3,5w_3_predictions_gasp_mutex_watershed_proofread.h5",(0.30980624146745483, 0.3513745665858292),0.309806241,20,0.351374567,0.074272178,"('634a6bd3d7f82045f87f4530e79d9c35', '6e0ca0b333f7c251e2e26939a12fff95')",hypocotyl_20210311,,
4w_5_predictions_gasp_mutex_watershed.h5,4w_5_predictions_gasp_mutex_watershed_proofread.h5,(0.3929775209456898, 0.2953833642754099),0.392977521,20,0.295383364,0.098090596,"('769f37f208211a19b6cad0703ca338b5', 'a3e367ed86abbc0e18a44cd41160316a')",hypocotyl_20210311,,
"3,5p2_5_predictions_gasp_mutex_watershed.h5","3,5p2_5_predictions_gasp_mutex_watershed_proofread.h5",(0.1632815029969999, 0.33696529870782826),0.163281503,21,0.336965299,0.03481591,"('ef534313a8cd01642334c451b6f5ec91', 'ec1c55eab3200c4b01190c0503c89dd2')",Model1_20210816,,
"3,5p4_4_predictions_gasp_mutex_watershed.h5","3,5p4_4_predictions_gasp_mutex_watershed_proofread.h5",(0.3615245425412979, 0.35477175035176994),0.361524543,21,0.35477175,0.102482416,"('adbdd11ed553025d9da28960e5eb73a3', 'db349a2b492e765286e5d28a491c1b07')",Model1_20210816,,
"3,5p4_5_predictions_gasp_mutex_watershed.h5","3,5p4_5_predictions_gasp_mutex_watershed_proofread.h5",(0.1774295027049985, 0.3399600369199188),0.177429503,20,0.339960037,0.042511515,"('f2dd7c0e5373b5cd868dfdd48bc1929e', 'c9b6182bad16759e1e3674f31825cd60')",Model1_20210816,,
"3,5w_3_predictions_gasp_mutex_watershed.h5","3,5w_3_predictions_gasp_mutex_watershed_proofread.h5",(0.12278382648662162, 0.3482561538562545),0.122783826,20,0.348256154,0.020139537,"('e1ae2ab29819e494bf93581c3fc553ea', '6e0ca0b333f7c251e2e26939a12fff95')",Model1_20210816,,
4w_5_predictions_gasp_mutex_watershed.h5,4w_5_predictions_gasp_mutex_watershed_proofread.h5,(0.20024341912223154, 0.3019033184834547),0.200243419,20,0.301903318,0.044071619,"('71a455bd3fa0098afe00bb9d84530cfa', 'a3e367ed86abbc0e18a44cd41160316a')",Model1_20210816,,
"3,5p2_5_predictions_gasp_mutex_watershed.h5","3,5p2_5_predictions_gasp_mutex_watershed_proofread.h5",(0.2515699842908053, 0.31559062216336625),0.251569984,21,0.315590622,0.064525508,"('304432d542129695c8bf80b8960c07af', 'ec1c55eab3200c4b01190c0503c89dd2')",Model2_20210816,,
"3,5p4_4_predictions_gasp_mutex_watershed.h5","3,5p4_4_predictions_gasp_mutex_watershed_proofread.h5",(0.3991662077271224, 0.36304612232428335),0.399166208,21,0.363046122,0.114213565,"('32fb9fcea6bd5e7d33bde996d69c897b', 'db349a2b492e765286e5d28a491c1b07')",Model2_20210816,,
"3,5p4_5_predictions_gasp_mutex_watershed.h5","3,5p4_5_predictions_gasp_mutex_watershed_proofread.h5",(0.16735104730938405, 0.2788120919206796),0.167351047,20,0.278812092,0.031838985,"('d399daade9aaa36d53f6cd0ba7b7527e', 'c9b6182bad16759e1e3674f31825cd60')",Model2_20210816,,
"3,5w_3_predictions_gasp_mutex_watershed.h5","3,5w_3_predictions_gasp_mutex_watershed_proofread.h5",(0.09397015410881064, 0.33594226298835705),0.093970154,21,0.335942263,0.016713117,"('cc209dd54bf8cbfd3acabb7daa45b985', '6e0ca0b333f7c251e2e26939a12fff95')",Model2_20210816,,
4w_5_predictions_gasp_mutex_watershed.h5,4w_5_predictions_gasp_mutex_watershed_proofread.h5,(0.28711597924732635, 0.2861058263520283),0.287115979,20,0.286105826,0.069641358,"('89a0331106bcb89f2d47ee92a6877cb0', 'a3e367ed86abbc0e18a44cd41160316a')",Model2_20210816,,
"3,5p2_5_predictions_gasp_mutex_watershed.h5","3,5p2_5_predictions_gasp_mutex_watershed_proofread.h5",(0.16275185299680234, 0.33002616169209964),0.162751853,21,0.330026162,0.033095335,"('3eb22bd4ffdbdd79804a2c7c3f57b5e0', 'ec1c55eab3200c4b01190c0503c89dd2')",full_20210818,,
"3,5p4_4_predictions_gasp_mutex_watershed.h5","3,5p4_4_predictions_gasp_mutex_watershed_proofread.h5",(0.337008563074944, 0.2683874356049908),0.337008563,20,0.268387436,0.126891359,"('a964efaf9d36d5245a9841308e0ce96b', 'db349a2b492e765286e5d28a491c1b07')",full_20210818,,
"3,5p4_5_predictions_gasp_mutex_watershed.h5","3,5p4_5_predictions_gasp_mutex_watershed_proofread.h5",(0.12862261096375707, 0.35051996072136027),0.128622611,21,0.350519961,0.032662954,"('30a554cc48461fdacc3ba9acfde267d5', 'c9b6182bad16759e1e3674f31825cd60')",full_20210818,,
"3,5w_3_predictions_gasp_mutex_watershed.h5","3,5w_3_predictions_gasp_mutex_watershed_proofread.h5",(0.108581036865667, 0.3525168161906519),0.108581037,20,0.352516816,0.021849566,"('3a5b3c9b05f9cc6fe2c723259d0814ed', '6e0ca0b333f7c251e2e26939a12fff95')",full_20210818,,
4w_5_predictions_gasp_mutex_watershed.h5,4w_5_predictions_gasp_mutex_watershed_proofread.h5,(0.18740466277850842, 0.3107140623924234),0.187404663,20,0.310714062,0.041935133,"('f3ff2196a15abc2bec18fa4e0b9d5592', 'a3e367ed86abbc0e18a44cd41160316a')",full_20210818,,
"3,5p2_5_predictions_gasp_mutex_watershed.h5","3,5p2_5_predictions_gasp_mutex_watershed_proofread.h5",(0.10393280568029986, 0.23658940673225892),0.103932806,21,0.236589407,0.037987388,"('d30c802d84a342462fb06d1383be6f6c', 'ec1c55eab3200c4b01190c0503c89dd2')",model_20210910,,
